Date,Value,ChangePercentMonth,ChangePercentYear
1994-01,88.81,,
1994-02,88.89,0.000901,
1994-03,89.52,0.007087,
1994-04,90.3,0.008713,
1994-05,90.27,-0.000332,
1994-06,90.41,0.001551,
1994-07,89.21,-0.013273,
1994-08,89.18,-0.000336,
1994-09,88.42,-0.008522,
1994-10,87.92,-0.005655,
1994-11,88.31,0.004436,
1994-12,90.56,0.025478,
1995-01,93.09,0.027937,0.048193
1995-02,92.57,-0.005586,0.041399
1995-03,91.67,-0.009722,0.024017
1995-04,88.82,-0.03109,-0.01639
1995-05,88.78,-0.00045,-0.016506
1995-06,89.05,0.003041,-0.015043
1995-07,89.15,0.001123,-0.000673
1995-08,91.48,0.026136,0.025791
1995-09,93.02,0.016834,0.052024
1995-10,92.92,-0.001075,0.05687
1995-11,94.35,0.01539,0.068395
1995-12,94.99,0.006783,0.048918
1996-01,95.62,0.006632,0.027178
1996-02,95.89,0.002824,0.035865
1996-03,95.97,0.000834,0.046907
1996-04,96.22,0.002605,0.083315
1996-05,96.61,0.004053,0.088196
1996-06,97.07,0.004761,0.090062
1996-07,97.03,-0.000412,0.08839
1996-08,96.57,-0.004741,0.055641
1996-09,97.11,0.005592,0.043969
1996-10,97.67,0.005767,0.051119
1996-11,97.31,-0.003686,0.031373
1996-12,98.38,0.010996,0.035688
1997-01,99.43,0.010673,0.039845
1997-02,101.33,0.019109,0.056732
1997-03,102.21,0.008684,0.06502
1997-04,102.99,0.007631,0.07036
1997-05,101.82,-0.01136,0.053928
1997-06,101.6,-0.002161,0.046667
1997-07,102.6,0.009843,0.057405
1997-08,104.5,0.018519,0.082117
1997-09,104.95,0.004306,0.080733
1997-10,105.39,0.004192,0.079042
1997-11,107.27,0.017839,0.102353
1997-12,111.1,0.035704,0.129295
1998-01,114.35,0.029253,0.150055
1998-02,113.0,-0.011806,0.115168
1998-03,112.73,-0.002389,0.102925
1998-04,112.71,-0.000177,0.094378
1998-05,113.6,0.007896,0.115694
1998-06,116.14,0.022359,0.14311
1998-07,116.5,0.0031,0.135478
1998-08,118.63,0.018283,0.135215
1998-09,117.26,-0.011549,0.117294
1998-10,113.98,-0.027972,0.081507
1998-11,113.92,-0.000526,0.061993
1998-12,113.11,-0.00711,0.018092
1999-01,113.38,0.002387,-0.008483
1999-02,114.83,0.012789,0.016195
1999-03,116.17,0.011669,0.030515
1999-04,115.46,-0.006112,0.024399
1999-05,115.27,-0.001646,0.014701
1999-06,115.95,0.005899,-0.001636
1999-07,116.02,0.000604,-0.00412
1999-08,114.84,-0.010171,-0.031948
1999-09,114.13,-0.006183,-0.026693
1999-10,113.73,-0.003505,-0.002193
1999-11,113.94,0.001846,0.000176
1999-12,114.07,0.001141,0.008487
2000-01,113.88,-0.001666,0.00441
2000-02,115.4,0.013347,0.004964
2000-03,115.35,-0.000433,-0.007059
2000-04,115.96,0.005288,0.004331
2000-05,118.75,0.02406,0.03019
2000-06,117.53,-0.010274,0.013627
2000-07,117.62,0.000766,0.013791
2000-08,118.51,0.007567,0.031958
2000-09,119.79,0.010801,0.049593
2000-10,121.65,0.015527,0.069639
2000-11,122.55,0.007398,0.075566
2000-12,121.62,-0.007589,0.066187
2001-01,121.52,-0.000822,0.067088
2001-02,122.14,0.005102,0.058406
2001-03,124.22,0.01703,0.076896
2001-04,125.29,0.008614,0.080459
2001-05,124.95,-0.002714,0.052211
2001-06,125.7,0.006002,0.069514
2001-07,126.19,0.003898,0.072862
2001-08,124.22,-0.015611,0.048182
2001-09,124.59,0.002979,0.04007
2001-10,125.43,0.006742,0.031073
2001-11,126.0,0.004544,0.028152
2001-12,126.12,0.000952,0.037
2002-01,127.55,0.011338,0.049621
2002-02,128.26,0.005566,0.050106
2002-03,127.51,-0.005847,0.026485
2002-04,127.07,-0.003451,0.014207
2002-05,125.46,-0.01267,0.004082
2002-06,124.02,-0.011478,-0.013365
2002-07,122.26,-0.014191,-0.031144
2002-08,123.58,0.010797,-0.005152
2002-09,124.36,0.006312,-0.001846
2002-10,125.31,0.007639,-0.000957
2002-11,124.02,-0.010294,-0.015714
2002-12,123.43,-0.004757,-0.021329
2003-01,121.83,-0.012963,-0.044845
2003-02,121.75,-0.000657,-0.050756
2003-03,121.24,-0.004189,-0.049173
2003-04,120.37,-0.007176,-0.052727
2003-05,116.13,-0.035225,-0.074366
2003-06,115.78,-0.003014,-0.066441
2003-07,116.82,0.008983,-0.044495
2003-08,118.28,0.012498,-0.042887
2003-09,117.08,-0.010145,-0.05854
2003-10,114.71,-0.020243,-0.08459
2003-11,114.51,-0.001744,-0.076681
2003-12,112.96,-0.013536,-0.084825
2004-01,111.11,-0.016377,-0.087991
2004-02,111.52,0.00369,-0.084025
2004-03,112.67,0.010312,-0.070686
2004-04,113.55,0.00781,-0.056659
2004-05,115.35,0.015852,-0.006717
2004-06,114.26,-0.00945,-0.013128
2004-07,113.41,-0.007439,-0.02919
2004-08,113.69,0.002469,-0.038806
2004-09,113.2,-0.00431,-0.03314
2004-10,111.6,-0.014134,-0.027112
2004-11,108.57,-0.027151,-0.051873
2004-12,107.26,-0.012066,-0.05046
2005-01,107.89,0.005874,-0.02898
2005-02,108.07,0.001668,-0.030936
2005-03,107.4,-0.0062,-0.046774
2005-04,108.44,0.009683,-0.045002
2005-05,108.92,0.004426,-0.055743
2005-06,110.03,0.010191,-0.037021
2005-07,110.47,0.003999,-0.025924
2005-08,109.01,-0.013216,-0.041165
2005-09,108.87,-0.001284,-0.038251
2005-10,110.07,0.011022,-0.01371
2005-11,110.87,0.007268,0.021184
2005-12,110.16,-0.006404,0.027037
2006-01,108.68,-0.013435,0.007322
2006-02,108.87,0.001748,0.007403
2006-03,109.08,0.001929,0.015642
2006-04,108.34,-0.006784,-0.000922
2006-05,106.11,-0.020583,-0.025799
2006-06,107.5,0.0131,-0.022994
2006-07,107.15,-0.003256,-0.030053
2006-08,106.45,-0.006533,-0.023484
2006-09,106.72,0.002536,-0.019748
2006-10,107.11,0.003654,-0.026892
2006-11,106.13,-0.009149,-0.042753
2006-12,105.2,-0.008763,-0.045025
2007-01,106.3,0.010456,-0.021899
2007-02,105.97,-0.003104,-0.026637
2007-03,105.41,-0.005285,-0.033645
2007-04,104.02,-0.013187,-0.039874
2007-05,103.19,-0.007979,-0.027519
2007-06,102.99,-0.001938,-0.041953
2007-07,101.65,-0.013011,-0.05133
2007-08,102.17,0.005116,-0.040207
2007-09,100.77,-0.013703,-0.055753
2007-10,98.71,-0.020443,-0.078424
2007-11,97.12,-0.016108,-0.084896
2007-12,97.97,0.008752,-0.068726
2008-01,97.16,-0.008268,-0.085983
2008-02,96.41,-0.007719,-0.090214
2008-03,94.41,-0.020745,-0.104354
2008-04,94.0,-0.004343,-0.096328
2008-05,94.32,0.003404,-0.085958
2008-06,94.45,0.001378,-0.082921
2008-07,93.67,-0.008258,-0.078505
2008-08,95.96,0.024448,-0.060781
2008-09,98.3,0.024385,-0.024511
2008-10,104.82,0.066328,0.061898
2008-11,107.64,0.026903,0.10832
2008-12,106.62,-0.009476,0.088292
2009-01,107.22,0.005627,0.103541
2009-02,109.86,0.024622,0.139508
2009-03,110.4,0.004915,0.169368
2009-04,107.72,-0.024275,0.145957
2009-05,104.45,-0.030356,0.1074
2009-06,103.2,-0.011967,0.092642
2009-07,102.84,-0.003488,0.097897
2009-08,101.49,-0.013127,0.057628
2009-09,100.74,-0.00739,0.024822
2009-10,99.28,-0.014493,-0.052853
2009-11,98.83,-0.004533,-0.081847
2009-12,99.19,0.003643,-0.069687
2010-01,99.42,0.002319,-0.072748
2010-02,100.88,0.014685,-0.08174
2010-03,100.1,-0.007732,-0.093297
2010-04,99.66,-0.004396,-0.074824
2010-05,102.6,0.0295,-0.017712
2010-06,103.27,0.00653,0.000678
2010-07,101.58,-0.016365,-0.012252
2010-08,100.67,-0.008958,-0.00808
2010-09,99.78,-0.008841,-0.009529
2010-10,96.9,-0.028863,-0.023973
2010-11,97.19,0.002993,-0.016594
2010-12,97.96,0.007923,-0.0124
2011-01,96.85,-0.011331,-0.02585
2011-02,96.16,-0.007124,-0.046788
