Date,Value,ChangePercentMonth,ChangePercentYear
1983-03,29.27,,
1983-04,30.63,0.046464,
1983-05,30.25,-0.012406,
1983-06,31.38,0.037355,
1983-07,32.0,0.019758,
1983-08,31.59,-0.012813,
1983-09,30.36,-0.038936,
1983-10,30.37,0.000329,
1983-11,29.23,-0.037537,
1983-12,29.6,0.012658,
1984-01,29.98,0.012838,
1984-02,30.55,0.019013,
1984-03,30.85,0.00982,0.05398
1984-04,30.26,-0.019125,-0.01208
1984-05,30.83,0.018837,0.019174
1984-06,29.75,-0.035031,-0.051944
1984-07,27.6,-0.072269,-0.1375
1984-08,29.23,0.059058,-0.074707
1984-09,29.66,0.014711,-0.023057
1984-10,28.46,-0.040459,-0.062891
1984-11,27.31,-0.040408,-0.065686
1984-12,26.41,-0.032955,-0.10777
1985-01,26.41,0.0,-0.119079
1985-02,26.73,0.012117,-0.125041
1985-03,28.29,0.058361,-0.082982
1985-04,27.63,-0.02333,-0.086913
1985-05,27.84,0.0076,-0.096983
1985-06,26.87,-0.034842,-0.096807
1985-07,27.12,0.009304,-0.017391
1985-08,28.08,0.035398,-0.039343
1985-09,29.08,0.035613,-0.019555
1985-10,30.38,0.044704,0.067463
1985-11,29.75,-0.020737,0.089345
1985-12,26.3,-0.115966,-0.004165
1986-01,18.83,-0.28403,-0.287012
1986-02,13.26,-0.295805,-0.503928
1986-03,10.42,-0.214178,-0.631672
1986-04,13.34,0.28023,-0.517191
1986-05,14.3,0.071964,-0.486351
1986-06,12.78,-0.106294,-0.524377
1986-07,11.15,-0.127543,-0.588864
1986-08,15.9,0.426009,-0.433761
1986-09,14.77,-0.071069,-0.492091
1986-10,15.27,0.033852,-0.497367
1986-11,15.0,-0.017682,-0.495798
1986-12,17.94,0.196,-0.317871
1987-01,18.75,0.045151,-0.004249
1987-02,16.6,-0.114667,0.251885
1987-03,18.83,0.134337,0.807102
1987-04,18.73,-0.005311,0.404048
1987-05,19.38,0.034704,0.355245
1987-06,20.29,0.046956,0.587637
1987-07,21.37,0.053228,0.916592
1987-08,19.73,-0.076743,0.240881
1987-09,19.59,-0.007096,0.326337
1987-10,19.96,0.018887,0.307138
1987-11,18.51,-0.072645,0.234
1987-12,16.7,-0.097785,-0.069119
1988-01,16.94,0.014371,-0.096533
1988-02,16.01,-0.0549,-0.035542
1988-03,17.08,0.066833,-0.092937
1988-04,17.99,0.053279,-0.039509
1988-05,17.51,-0.026681,-0.096491
1988-06,15.16,-0.134209,-0.252834
1988-07,16.31,0.075858,-0.236781
1988-08,15.18,-0.069283,-0.230613
1988-09,13.37,-0.119236,-0.317509
1988-10,13.58,0.015707,-0.319639
1988-11,15.32,0.12813,-0.172339
1988-12,17.24,0.125326,0.032335
1989-01,17.03,-0.012181,0.005313
1989-02,18.15,0.065766,0.133666
1989-03,20.19,0.112397,0.182084
1989-04,20.42,0.011392,0.135075
1989-05,19.9,-0.025465,0.136493
1989-06,20.27,0.018593,0.337071
1989-07,18.31,-0.096695,0.122624
1989-08,18.83,0.0284,0.240448
1989-09,20.13,0.069039,0.50561
1989-10,19.94,-0.009439,0.468336
1989-11,19.89,-0.002508,0.298303
1989-12,21.82,0.097034,0.265661
1990-01,22.68,0.039413,0.331767
1990-02,21.54,-0.050265,0.186777
1990-03,20.28,-0.058496,0.004458
1990-04,18.54,-0.085799,-0.092067
1990-05,17.4,-0.061489,-0.125628
1990-06,17.07,-0.018966,-0.157869
1990-07,20.69,0.212068,0.129984
1990-08,27.32,0.320445,0.450876
1990-09,39.51,0.446193,0.962742
1990-10,35.23,-0.108327,0.7668
1990-11,28.85,-0.181096,0.450478
1990-12,28.44,-0.014211,0.303391
1991-01,21.54,-0.242616,-0.050265
1991-02,19.16,-0.110492,-0.110492
1991-03,19.63,0.02453,-0.032051
1991-04,20.96,0.067753,0.130529
1991-05,21.13,0.008111,0.214368
1991-06,20.56,-0.026976,0.204452
1991-07,21.68,0.054475,0.047849
1991-08,22.26,0.026753,-0.185212
1991-09,22.23,-0.001348,-0.437358
1991-10,23.37,0.051282,-0.336645
1991-11,21.48,-0.080873,-0.255459
1991-12,19.12,-0.10987,-0.327707
1992-01,18.9,-0.011506,-0.122563
1992-02,18.68,-0.01164,-0.025052
1992-03,19.44,0.040685,-0.009679
1992-04,20.85,0.072531,-0.005248
1992-05,22.11,0.060432,0.04638
1992-06,21.6,-0.023066,0.050584
1992-07,21.87,0.0125,0.008764
1992-08,21.48,-0.017833,-0.03504
1992-09,21.71,0.010708,-0.023392
1992-10,20.62,-0.050207,-0.117672
1992-11,19.89,-0.035403,-0.074022
1992-12,19.5,-0.019608,0.019874
1993-01,20.26,0.038974,0.071958
1993-02,20.6,0.016782,0.102784
1993-03,20.44,-0.007767,0.05144
1993-04,20.53,0.004403,-0.015348
1993-05,20.02,-0.024842,-0.094527
1993-06,18.85,-0.058442,-0.127315
1993-07,17.88,-0.051459,-0.182442
1993-08,18.29,0.022931,-0.14851
1993-09,18.79,0.027337,-0.1345
1993-10,16.92,-0.099521,-0.179437
1993-11,15.43,-0.088061,-0.224233
1993-12,14.17,-0.081659,-0.273333
1994-01,15.19,0.071983,-0.250247
1994-02,14.48,-0.046741,-0.297087
1994-03,14.79,0.021409,-0.276419
1994-04,16.9,0.142664,-0.176814
1994-05,18.31,0.083432,-0.085415
1994-06,19.37,0.057892,0.027586
1994-07,19.77,0.02065,0.105705
1994-08,17.56,-0.111786,-0.039913
1994-09,18.39,0.047267,-0.021288
1994-10,18.19,-0.010875,0.075059
1994-11,18.05,-0.007697,0.169799
1994-12,17.76,-0.016066,0.253352
1995-01,18.39,0.035473,0.210665
1995-02,18.49,0.005438,0.276934
1995-03,19.17,0.036777,0.296146
1995-04,20.38,0.063119,0.205917
1995-05,18.89,-0.073111,0.031677
1995-06,17.4,-0.078878,-0.101704
1995-07,17.56,0.009195,-0.111786
1995-08,17.84,0.015945,0.015945
1995-09,17.54,-0.016816,-0.046221
1995-10,17.64,0.005701,-0.030236
1995-11,18.18,0.030612,0.007202
1995-12,19.55,0.075358,0.100788
1996-01,17.74,-0.092583,-0.035345
1996-02,19.54,0.101466,0.056787
1996-03,21.47,0.098772,0.119979
1996-04,21.2,-0.012576,0.040236
1996-05,19.76,-0.067925,0.046056
1996-06,20.92,0.058704,0.202299
1996-07,20.42,-0.023901,0.16287
1996-08,22.25,0.089618,0.247197
1996-09,24.38,0.09573,0.389966
1996-10,23.35,-0.042248,0.323696
1996-11,23.75,0.017131,0.306381
1996-12,25.92,0.091368,0.325831
1997-01,24.15,-0.068287,0.36133
1997-02,20.3,-0.15942,0.038895
1997-03,20.41,0.005419,-0.049371
1997-04,20.21,-0.009799,-0.046698
1997-05,20.88,0.033152,0.05668
1997-06,19.8,-0.051724,-0.053537
1997-07,20.14,0.017172,-0.013712
1997-08,19.61,-0.026316,-0.118652
1997-09,21.18,0.080061,-0.131255
1997-10,21.08,-0.004721,-0.097216
1997-11,19.15,-0.091556,-0.193684
1997-12,17.64,-0.078851,-0.319444
1998-01,17.21,-0.024376,-0.287371
1998-02,15.44,-0.102847,-0.239409
1998-03,15.61,0.01101,-0.235179
1998-04,15.39,-0.014094,-0.238496
1998-05,15.2,-0.012346,-0.272031
1998-06,14.18,-0.067105,-0.283838
1998-07,14.21,0.002116,-0.294439
1998-08,13.34,-0.061224,-0.319735
1998-09,16.14,0.209895,-0.23796
1998-10,14.42,-0.106568,-0.315939
1998-11,11.22,-0.221914,-0.414099
1998-12,12.05,0.073975,-0.316893
1999-01,12.75,0.058091,-0.259152
1999-02,12.27,-0.037647,-0.205311
1999-03,16.76,0.365933,0.073671
1999-04,18.66,0.113365,0.212476
1999-05,16.84,-0.097535,0.107895
1999-06,19.29,0.145487,0.360367
1999-07,20.53,0.064282,0.444757
1999-08,22.11,0.076961,0.657421
1999-09,24.51,0.108548,0.518587
1999-10,21.75,-0.112607,0.508322
1999-11,24.59,0.130575,1.191622
1999-12,25.6,0.041074,1.124481
2000-01,27.64,0.079687,1.167843
2000-02,30.43,0.100941,1.480033
2000-03,26.9,-0.116004,0.605012
2000-04,25.74,-0.043123,0.379421
2000-05,29.01,0.12704,0.722684
2000-06,32.5,0.120303,0.684811
2000-07,27.43,-0.156,0.336094
2000-08,33.12,0.207437,0.497965
2000-09,30.84,-0.068841,0.258262
2000-10,32.7,0.060311,0.503448
2000-11,33.82,0.034251,0.375356
2000-12,26.8,-0.207569,0.046875
2001-01,28.66,0.069403,0.036903
2001-02,27.39,-0.044313,-0.099901
2001-03,26.29,-0.040161,-0.022677
2001-04,28.46,0.082541,0.105672
2001-05,28.37,-0.003162,-0.022061
2001-06,26.25,-0.074727,-0.192308
2001-07,26.35,0.00381,-0.039373
2001-08,27.2,0.032258,-0.178744
2001-09,23.43,-0.138603,-0.240272
2001-10,21.18,-0.096031,-0.352294
2001-11,19.44,-0.082153,-0.425192
2001-12,19.84,0.020576,-0.259701
2002-01,19.48,-0.018145,-0.320307
2002-02,21.74,0.116016,-0.20628
2002-03,26.31,0.210212,0.000761
2002-04,27.29,0.037248,-0.04111
2002-05,25.31,-0.072554,-0.10786
2002-06,26.86,0.061241,0.023238
2002-07,27.02,0.005957,0.025427
2002-08,28.98,0.072539,0.065441
2002-09,30.45,0.050725,0.299616
2002-10,27.22,-0.106076,0.285175
2002-11,26.89,-0.012123,0.38323
2002-12,31.2,0.160283,0.572581
2003-01,33.51,0.074038,0.720226
2003-02,36.6,0.092211,0.683533
2003-03,31.04,-0.151913,0.17978
2003-04,25.8,-0.168814,-0.054599
2003-05,29.56,0.145736,0.167918
2003-06,30.19,0.021313,0.123976
2003-07,30.54,0.011593,0.130274
2003-08,31.57,0.033726,0.089372
2003-09,29.2,-0.075071,-0.041051
2003-10,29.11,-0.003082,0.069434
2003-11,30.41,0.044658,0.130904
2003-12,32.52,0.069385,0.042308
2004-01,33.05,0.016298,-0.013727
2004-02,36.16,0.0941,-0.012022
2004-03,35.76,-0.011062,0.152062
2004-04,37.38,0.045302,0.448837
2004-05,39.88,0.066881,0.34912
2004-06,37.05,-0.070963,0.227228
2004-07,43.8,0.182186,0.434185
