Date,Value,ChangePercentMonth,ChangePercentYear
2014-10,350.496994,,
2014-11,388.85949700000003,0.109452,
2014-12,344.1349945,-0.115015,
2015-01,245.9724965,-0.285244,
2015-02,238.8129955,-0.029107,
2015-03,268.27950250000004,0.123387,
2015-04,238.33599850000002,-0.111613,
2015-05,238.1884995,-0.000619,
2015-06,244.5815045,0.02684,
2015-07,283.9495085,0.160961,
2015-08,242.6409985,-0.145478,
2015-09,242.1495055,-0.002026,
2015-10,284.8925015,0.176515,-0.187176
2015-11,398.2795105,0.397999,0.024225
2015-12,409.2839965,0.02763,0.189312
2016-01,408.9239955,-0.00088,0.662479
2016-02,408.00149550000003,-0.002256,0.708456
2016-03,416.84400949999997,0.021673,0.553768
2016-04,441.897995,0.060104,0.854097
2016-05,495.674515,0.121694,1.081018
2016-06,651.812988,0.315002,1.665013
2016-07,658.401001,0.010107,1.318726
2016-08,578.7265015,-0.121012,1.385114
2016-09,599.8144835,0.036439,1.477042
2016-10,664.9404910000001,0.108577,1.334005
2016-11,717.196503,0.078588,0.800737
2016-12,862.721497,0.202908,1.10788
2017-01,973.4279785,0.128322,1.380462
2017-02,1073.540497,0.102845,1.631217
2017-03,1092.011536,0.017206,1.619713
2017-04,1204.5,0.10301,1.725742
2017-05,2056.005005,0.706936,3.147893
2017-06,2606.4349365,0.267718,2.998747
2017-07,2379.584961,-0.087035,2.614188
2017-08,3702.3199465,0.555868,5.397357
2017-09,3960.830078,0.069824,5.603425
2017-10,5317.2399905,0.342456,6.996565
2017-11,8518.2050785,0.601997,10.877087
2017-12,14891.8251955,0.748235,16.261451
2018-01,13557.345215,-0.089612,12.927425
2018-02,9003.379883,-0.335904,7.386623
2018-03,9194.0148925,0.021174,7.419339
2018-04,8136.095215,-0.115066,5.754749
2018-05,8527.590088,0.048118,3.14765
2018-06,6790.6501465,-0.203685,1.60534
2018-07,7280.3447264999995,0.072113,2.059502
2018-08,6870.044922,-0.056357,0.855605
2018-09,6792.975098,-0.011218,0.715038
2018-10,6600.765137,-0.028295,0.241389
2018-11,5068.6101075,-0.232118,-0.404967
2018-12,3750.340454,-0.260085,-0.748161
2019-01,3754.92041,0.001221,-0.723034
2019-02,3800.832642,0.012227,-0.577844
2019-03,4015.2781985,0.056421,-0.563273
2019-04,4869.472900500001,0.212736,-0.401498
2019-05,7177.980224500001,0.474077,-0.158264
2019-06,10680.489013999999,0.487952,0.572823
2019-07,11146.332031499998,0.043616,0.531017
2019-08,10847.725586,-0.02679,0.578989
2019-09,9364.760254,-0.136707,0.378595
2019-10,8734.3664555,-0.067316,0.323235
2019-11,8061.109375,-0.077081,0.590398
2019-12,7141.7404785,-0.11405,0.904291
2020-01,8234.061035499999,0.152949,1.192872
2020-02,9475.279785,0.150742,1.492948
2020-03,6637.338135,-0.29951,0.653021
2020-04,7821.511962999999,0.178411,0.606234
2020-05,9185.533202999999,0.174394,0.279682
2020-06,9587.545410499999,0.043766,-0.102331
2020-07,10196.4399415,0.063509,-0.08522
2020-08,11685.73584,0.14606,0.077252
2020-09,10991.787109500001,-0.059384,0.173739
2020-10,12222.45166,0.111962,0.399352
2020-11,16496.211914,0.349665,1.046395
2020-12,23432.205078,0.42046,2.281022
2021-01,35334.74707,0.507957,3.29129
2021-02,45357.399414499996,0.283649,3.786919
2021-03,53399.4785155,0.177305,7.045315
2021-04,56011.2910155,0.048911,6.161185
2021-05,45100.4257815,-0.194798,3.909941
2021-06,35094.4453125,-0.22186,2.66042
2021-07,35798.2509765,0.020055,2.510858
2021-08,43970.0410155,0.228273,2.762711
2021-09,46320.6875,0.05346,3.214118
2021-10,55125.2070315,0.190077,3.51016
2021-11,61179.6953125,0.109832,2.708712
2021-12,50958.150391,-0.167074,1.174706
2022-01,40532.732422,-0.204588,0.147107
2022-02,40060.1953125,-0.011658,-0.116788
2022-03,42673.5195315,0.065235,-0.200863
2022-04,43004.8339845,0.007764,-0.232211
2022-04,40506.0488285,-0.058105,-0.10187
