Date,Value,ChangePercentMonth,ChangePercentYear
1970-02,89.5,,
1970-03,89.63,0.001453,
1970-04,81.52,-0.090483,
1970-05,76.55,-0.060967,
1970-06,72.72,-0.050033,
1970-07,78.05,0.073295,
1970-08,81.52,0.044459,
1970-09,84.3,0.034102,
1970-10,83.25,-0.012456,
1970-11,87.2,0.047447,
1970-12,92.15,0.056766,
1971-01,95.88,0.040477,
1971-02,96.75,0.009074,0.081006
1971-03,100.31,0.036796,0.119157
1971-04,103.95,0.036288,0.275147
1971-05,99.63,-0.041558,0.301502
1971-06,98.7,-0.009335,0.357261
1971-07,95.58,-0.031611,0.2246
1971-08,99.03,0.036095,0.214794
1971-09,98.34,-0.006968,0.166548
1971-10,94.23,-0.041794,0.131892
1971-11,93.99,-0.002547,0.077867
1971-12,102.09,0.086179,0.107868
1972-01,103.94,0.018121,0.084063
1972-02,106.57,0.025303,0.101499
1972-03,107.2,0.005912,0.068687
1972-04,107.67,0.004384,0.035786
1972-05,109.53,0.017275,0.099368
1972-06,107.14,-0.021821,0.085512
1972-07,107.39,0.002333,0.123561
1972-08,111.09,0.034454,0.121781
1972-09,110.55,-0.004861,0.124161
1972-10,111.58,0.009317,0.184124
1972-11,116.67,0.045617,0.241302
1972-12,118.05,0.011828,0.156333
1973-01,116.03,-0.017111,0.116317
1973-02,111.68,-0.03749,0.04795
1973-03,111.52,-0.001433,0.040299
1973-04,106.97,-0.0408,-0.006501
1973-05,104.95,-0.018884,-0.041815
1973-06,104.26,-0.006575,-0.026881
1973-07,108.22,0.037982,0.007729
1973-08,104.25,-0.036685,-0.061572
1973-09,108.43,0.040096,-0.019177
1973-10,108.29,-0.001291,-0.029486
1973-11,95.96,-0.113861,-0.177509
1973-12,97.55,0.016569,-0.173655
1974-01,96.57,-0.010046,-0.167715
1974-02,96.22,-0.003624,-0.138431
1974-03,93.98,-0.02328,-0.157281
1974-04,90.31,-0.039051,-0.155745
1974-05,87.28,-0.033551,-0.168366
1974-06,86.0,-0.014665,-0.175139
1974-07,79.31,-0.077791,-0.267141
1974-08,72.15,-0.090279,-0.307914
1974-09,63.54,-0.119335,-0.414
1974-10,73.9,0.163047,-0.317573
1974-11,69.97,-0.05318,-0.270842
1974-12,68.56,-0.020151,-0.297181
1975-01,76.98,0.122812,-0.202858
1975-02,81.59,0.059886,-0.152047
1975-03,83.36,0.021694,-0.113003
1975-04,87.3,0.047265,-0.03333
1975-05,91.15,0.044101,0.04434
1975-06,95.19,0.044323,0.10686
1975-07,88.75,-0.067654,0.119027
1975-08,86.88,-0.02107,0.204158
1975-09,83.87,-0.034645,0.319956
1975-10,89.04,0.061643,0.204871
1975-11,91.24,0.024708,0.303987
1975-12,90.19,-0.011508,0.31549
1976-01,100.86,0.118306,0.31021
1976-02,99.71,-0.011402,0.222086
1976-03,102.77,0.030689,0.232845
1976-04,101.64,-0.010995,0.164261
1976-05,100.18,-0.014364,0.099067
1976-06,104.28,0.040926,0.095493
1976-07,103.44,-0.008055,0.165521
1976-08,102.91,-0.005124,0.184507
1976-09,105.24,0.022641,0.254799
1976-10,102.9,-0.022235,0.15566
1976-11,102.1,-0.007775,0.119027
1976-12,107.46,0.052498,0.191485
1977-01,102.03,-0.05053,0.0116
1977-02,99.82,-0.02166,0.001103
1977-03,98.42,-0.014025,-0.042328
1977-04,98.44,0.000203,-0.031484
1977-05,96.12,-0.023568,-0.040527
1977-06,100.48,0.04536,-0.03644
1977-07,98.85,-0.016222,-0.044374
1977-08,96.77,-0.021042,-0.059664
1977-09,96.53,-0.00248,-0.082763
1977-10,92.34,-0.043406,-0.102624
1977-11,94.83,0.026966,-0.071205
1977-12,95.1,0.002847,-0.11502
1978-01,89.25,-0.061514,-0.125257
1978-02,87.04,-0.024762,-0.12803
1978-03,89.21,0.024931,-0.093579
1978-04,96.83,0.085416,-0.016355
1978-05,97.24,0.004234,0.011652
1978-06,95.53,-0.017585,-0.049264
1978-07,100.68,0.05391,0.018513
1978-08,103.29,0.025924,0.067376
1978-09,102.54,-0.007261,0.06226
1978-10,93.15,-0.091574,0.008772
1978-11,94.7,0.01664,-0.001371
1978-12,96.11,0.014889,0.01062
1979-01,99.93,0.039746,0.119664
1979-02,96.28,-0.036526,0.106158
1979-03,101.59,0.055152,0.138774
1979-04,101.76,0.001673,0.050914
1979-05,99.08,-0.026336,0.018922
1979-06,102.91,0.038656,0.077253
1979-07,103.81,0.008746,0.031089
1979-08,109.32,0.053078,0.058379
1979-09,109.32,0.0,0.066121
1979-10,101.82,-0.068606,0.093076
1979-11,106.16,0.042624,0.121014
1979-12,107.94,0.016767,0.123088
1980-01,114.16,0.057625,0.1424
1980-02,113.66,-0.00438,0.180515
1980-03,102.09,-0.101795,0.004922
1980-04,106.29,0.04114,0.044517
1980-05,111.24,0.046571,0.122729
1980-06,114.24,0.026969,0.110096
1980-07,121.67,0.065039,0.172045
1980-08,122.38,0.005835,0.119466
1980-09,125.46,0.025168,0.14764
1980-10,127.47,0.016021,0.251915
1980-11,140.52,0.102377,0.323662
1980-12,135.76,-0.033874,0.257736
1981-01,129.55,-0.045742,0.134811
1981-02,131.27,0.013277,0.154936
1981-03,136.0,0.036033,0.332158
1981-04,132.81,-0.023456,0.249506
1981-05,132.59,-0.001657,0.191927
1981-06,131.21,-0.010408,0.148547
1981-07,130.92,-0.00221,0.076025
1981-08,122.79,-0.062099,0.00335
1981-09,116.18,-0.053832,-0.073968
1981-10,121.89,0.049148,-0.043775
1981-11,126.35,0.03659,-0.10084
1981-12,122.55,-0.030075,-0.097304
1982-01,120.4,-0.017544,-0.070629
1982-02,113.11,-0.060548,-0.138341
1982-03,111.96,-0.010167,-0.176765
1982-04,116.44,0.040014,-0.123259
1982-05,111.88,-0.039162,-0.156196
1982-06,109.61,-0.02029,-0.164622
1982-07,107.09,-0.022991,-0.18202
1982-08,119.51,0.115977,-0.026712
1982-09,120.42,0.007614,0.036495
1982-10,133.72,0.110447,0.097055
1982-11,138.53,0.035971,0.096399
1982-12,140.64,0.015231,0.147613
1983-01,145.3,0.033134,0.206811
1983-02,148.06,0.018995,0.308991
1983-03,152.96,0.033095,0.366202
1983-04,164.43,0.074987,0.412144
1983-05,162.39,-0.012406,0.451466
1983-06,167.64,0.03233,0.529422
1983-07,162.56,-0.030303,0.517976
1983-08,164.4,0.011319,0.375617
1983-09,166.07,0.010158,0.37909
1983-10,163.55,-0.015174,0.223078
1983-11,166.4,0.017426,0.201184
1983-12,164.93,-0.008834,0.17271
1984-01,163.41,-0.009216,0.124639
1984-02,157.06,-0.038859,0.060786
1984-03,159.18,0.013498,0.040664
1984-04,160.05,0.005466,-0.026637
1984-05,150.55,-0.059356,-0.072911
1984-06,153.18,0.017469,-0.086256
1984-07,150.66,-0.016451,-0.073204
1984-08,166.68,0.106332,0.013869
1984-09,166.1,-0.00348,0.000181
1984-10,166.09,-6e-05,0.01553
1984-11,163.58,-0.015112,-0.016947
1984-12,167.24,0.022374,0.014006
1985-01,179.63,0.074085,0.09926
1985-02,181.18,0.008629,0.153572
1985-03,180.66,-0.00287,0.134942
1985-04,179.83,-0.004594,0.123586
1985-05,189.55,0.054051,0.25905
1985-06,191.85,0.012134,0.252448
1985-07,190.92,-0.004848,0.267224
1985-08,188.63,-0.011995,0.131689
1985-09,182.08,-0.034724,0.096207
1985-10,189.82,0.042509,0.142874
1985-11,202.17,0.065062,0.235909
1985-12,211.28,0.045061,0.263334
1986-01,211.78,0.002367,0.178979
1986-02,226.92,0.071489,0.252456
1986-03,238.9,0.052794,0.322374
1986-04,235.52,-0.014148,0.309681
1986-05,247.35,0.050229,0.304933
1986-06,250.84,0.01411,0.30748
1986-07,236.12,-0.058683,0.236748
1986-08,252.93,0.071193,0.340879
1986-09,231.32,-0.085439,0.270431
1986-10,243.98,0.054729,0.285323
1986-11,249.22,0.021477,0.232725
1986-12,242.17,-0.028288,0.146204
1987-01,274.08,0.131767,0.294173
1987-02,284.2,0.036924,0.252424
1987-03,291.7,0.02639,0.221013
1987-04,288.36,-0.01145,0.224355
1987-05,290.1,0.006034,0.172832
1987-06,304.0,0.047915,0.211928
1987-07,318.66,0.048224,0.349568
1987-08,329.8,0.034959,0.303918
1987-09,321.83,-0.024166,0.391276
1987-10,251.79,-0.21763,0.032011
1987-11,230.3,-0.085349,-0.075917
1987-12,247.08,0.072861,0.020275
1988-01,257.07,0.040432,-0.062062
1988-02,267.82,0.041817,-0.057635
1988-03,258.89,-0.033343,-0.112479
1988-04,261.33,0.009425,-0.093737
1988-05,262.16,0.003176,-0.096312
1988-06,273.5,0.043256,-0.100329
1988-07,272.02,-0.005411,-0.146363
1988-08,261.52,-0.0386,-0.207035
1988-09,271.91,0.039729,-0.155113
1988-10,278.97,0.025964,0.107947
1988-11,273.7,-0.018891,0.18845
1988-12,277.72,0.014688,0.124008
1989-01,297.47,0.071115,0.157156
1989-02,288.86,-0.028944,0.07856
1989-03,294.87,0.020806,0.138978
1989-04,309.64,0.05009,0.184862
1989-05,320.52,0.035138,0.222612
1989-06,317.98,-0.007925,0.162633
1989-07,346.08,0.08837,0.272259
1989-08,351.45,0.015517,0.343874
1989-09,349.15,-0.006544,0.284065
1989-10,340.36,-0.025175,0.22006
1989-11,345.99,0.016541,0.264121
1989-12,353.4,0.021417,0.272505
1990-01,329.08,-0.068817,0.106263
1990-02,331.89,0.008539,0.148965
1990-03,339.94,0.024255,0.152847
1990-04,330.8,-0.026887,0.068337
1990-05,361.23,0.091989,0.127012
1990-06,358.02,-0.008886,0.12592
1990-07,356.15,-0.005223,0.029097
1990-08,322.56,-0.094314,-0.082202
1990-09,306.05,-0.051184,-0.123443
