Date,CO2,Deseasonalised CO2
1958-03-01,315.7,314.43
1958-04-01,317.45,315.16
1958-05-01,317.51,314.71
1958-06-01,317.24,315.14
1958-07-01,315.86,315.18
1958-08-01,314.93,316.18
1958-09-01,313.2,316.08
1958-10-01,312.43,315.41
1958-11-01,313.33,315.2
1958-12-01,314.67,315.43
1959-01-01,315.58,315.55
1959-02-01,316.48,315.86
1959-03-01,316.65,315.38
1959-04-01,317.72,315.41
1959-05-01,318.29,315.49
1959-06-01,318.15,316.03
1959-07-01,316.54,315.86
1959-08-01,314.8,316.06
1959-09-01,313.84,316.73
1959-10-01,313.33,316.33
1959-11-01,314.81,316.68
1959-12-01,315.58,316.35
1960-01-01,316.43,316.4
1960-02-01,316.98,316.36
1960-03-01,317.58,316.28
1960-04-01,319.03,316.7
1960-05-01,320.04,317.22
1960-06-01,319.59,317.47
1960-07-01,318.18,317.52
1960-08-01,315.9,317.19
1960-09-01,314.17,317.08
1960-10-01,313.83,316.83
1960-11-01,315,316.88
1960-12-01,316.19,316.96
1961-01-01,316.89,316.86
1961-02-01,317.7,317.08
1961-03-01,318.54,317.26
1961-04-01,319.48,317.16
1961-05-01,320.58,317.76
1961-06-01,319.77,317.63
1961-07-01,318.57,317.88
1961-08-01,316.79,318.06
1961-09-01,314.99,317.9
1961-10-01,315.31,318.32
1961-11-01,316.1,317.99
1961-12-01,317.01,317.79
1962-01-01,317.94,317.91
1962-02-01,318.55,317.92
1962-03-01,319.68,318.39
1962-04-01,320.57,318.24
1962-05-01,321.02,318.18
1962-06-01,320.62,318.47
1962-07-01,319.61,318.92
1962-08-01,317.4,318.68
1962-09-01,316.25,319.17
1962-10-01,315.42,318.45
1962-11-01,316.69,318.58
1962-12-01,317.7,318.47
1963-01-01,318.74,318.7
1963-02-01,319.07,318.44
1963-03-01,319.86,318.57
1963-04-01,321.38,319.05
1963-05-01,322.25,319.4
1963-06-01,321.48,319.32
1963-07-01,319.74,319.05
1963-08-01,317.77,319.05
1963-09-01,316.21,319.14
1963-10-01,315.99,319.02
1963-11-01,317.07,318.97
1963-12-01,318.35,319.13
1964-01-01,319.57,319.54
1964-02-01,320.01,319.37
1964-03-01,320.74,319.41
1964-04-01,321.84,319.45
1964-05-01,322.26,319.4
1964-06-01,321.89,319.75
1964-07-01,320.44,319.77
1964-08-01,318.69,320
1964-09-01,316.7,319.66
1964-10-01,316.87,319.91
1964-11-01,317.68,319.58
1964-12-01,318.71,319.49
1965-01-01,319.44,319.4
1965-02-01,320.44,319.81
1965-03-01,320.89,319.59
1965-04-01,322.14,319.78
1965-05-01,322.17,319.3
1965-06-01,321.87,319.7
1965-07-01,321.21,320.51
1965-08-01,318.87,320.15
1965-09-01,317.81,320.77
1965-10-01,317.3,320.36
1965-11-01,318.87,320.78
1965-12-01,319.42,320.2
1966-01-01,320.62,320.59
1966-02-01,321.6,320.96
1966-03-01,322.39,321.08
1966-04-01,323.7,321.34
1966-05-01,324.08,321.2
1966-06-01,323.75,321.57
1966-07-01,322.38,321.68
1966-08-01,320.36,321.65
1966-09-01,318.64,321.6
1966-10-01,318.1,321.17
1966-11-01,319.78,321.7
1966-12-01,321.03,321.81
1967-01-01,322.33,322.29
1967-02-01,322.5,321.86
1967-03-01,323.04,321.73
1967-04-01,324.42,322.04
1967-05-01,325,322.12
1967-06-01,324.09,321.91
1967-07-01,322.54,321.84
1967-08-01,320.92,322.21
1967-09-01,319.25,322.23
1967-10-01,319.39,322.47
1967-11-01,320.73,322.65
1967-12-01,321.96,322.75
1968-01-01,322.57,322.54
1968-02-01,323.15,322.51
1968-03-01,323.89,322.55
1968-04-01,325.02,322.62
1968-05-01,325.57,322.68
1968-06-01,325.36,323.19
1968-07-01,324.14,323.46
1968-08-01,322.11,323.43
1968-09-01,320.33,323.32
1968-10-01,320.25,323.33
1968-11-01,321.32,323.25
1968-12-01,322.89,323.69
1969-01-01,324,323.97
1969-02-01,324.42,323.77
1969-03-01,325.63,324.31
1969-04-01,326.66,324.27
1969-05-01,327.38,324.48
1969-06-01,326.71,324.51
1969-07-01,325.88,325.17
1969-08-01,323.66,324.97
1969-09-01,322.38,325.37
1969-10-01,321.78,324.88
1969-11-01,322.86,324.79
1969-12-01,324.12,324.91
1970-01-01,325.06,325.03
1970-02-01,325.98,325.34
1970-03-01,326.93,325.61
1970-04-01,328.13,325.74
1970-05-01,328.08,325.16
1970-06-01,327.67,325.46
1970-07-01,326.34,325.63
1970-08-01,324.69,325.99
1970-09-01,323.1,326.1
1970-10-01,323.06,326.18
1970-11-01,324.01,325.95
1970-12-01,325.13,325.93
1971-01-01,326.17,326.14
1971-02-01,326.68,326.03
1971-03-01,327.17,325.85
1971-04-01,327.79,325.38
1971-05-01,328.93,326
1971-06-01,328.57,326.36
1971-07-01,327.36,326.65
1971-08-01,325.43,326.74
1971-09-01,323.36,326.37
1971-10-01,323.56,326.69
1971-11-01,324.8,326.75
1971-12-01,326.01,326.82
1972-01-01,326.77,326.73
1972-02-01,327.63,326.98
1972-03-01,327.75,326.39
1972-04-01,329.72,327.29
1972-05-01,330.07,327.14
1972-06-01,329.09,326.88
1972-07-01,328.04,327.36
1972-08-01,326.32,327.67
1972-09-01,324.84,327.87
1972-10-01,325.2,328.33
1972-11-01,326.5,328.45
1972-12-01,327.55,328.36
1973-01-01,328.55,328.51
1973-02-01,329.56,328.91
1973-03-01,330.3,328.96
1973-04-01,331.5,329.08
1973-05-01,332.48,329.54
1973-06-01,332.07,329.84
1973-07-01,330.87,330.15
1973-08-01,329.31,330.63
1973-09-01,327.51,330.55
1973-10-01,327.18,330.32
1973-11-01,328.16,330.13
1973-12-01,328.64,329.45
1974-01-01,329.35,329.32
1974-02-01,330.71,330.05
1974-03-01,331.48,330.14
1974-04-01,332.65,330.22
1974-05-01,333.19,330.22
1974-06-01,332.2,329.79
1974-07-01,331.07,330.21
1974-08-01,329.15,330.54
1974-09-01,327.33,330.44
1974-10-01,327.28,330.52
1974-11-01,328.31,330.5
1974-12-01,329.58,330.56
1975-01-01,330.73,330.84
1975-02-01,331.46,330.85
1975-03-01,331.94,330.37
1975-04-01,333.11,330.53
1975-05-01,333.95,330.97
1975-06-01,333.42,331.01
1975-07-01,331.97,331.12
1975-08-01,329.95,331.33
1975-09-01,328.5,331.6
1975-10-01,328.36,331.61
1975-11-01,329.38,331.57
1975-12-01,330.62,331.6
1976-01-01,331.56,331.67
1976-02-01,332.74,332.13
1976-03-01,333.36,331.79
1976-04-01,334.74,332.16
1976-05-01,334.72,331.75
1976-06-01,333.98,331.56
1976-07-01,333.08,332.22
1976-08-01,330.68,332.07
1976-09-01,328.96,332.07
1976-10-01,328.72,331.97
1976-11-01,330.16,332.35
1976-12-01,331.62,332.6
1977-01-01,332.68,332.77
1977-02-01,333.17,332.57
1977-03-01,334.96,333.4
1977-04-01,336.14,333.54
1977-05-01,336.93,333.99
1977-06-01,336.17,333.79
1977-07-01,334.88,334
1977-08-01,332.56,333.9
1977-09-01,331.29,334.36
1977-10-01,331.28,334.5
1977-11-01,332.46,334.69
1977-12-01,333.6,334.59
1978-01-01,334.94,335.01
1978-02-01,335.26,334.59
1978-03-01,336.66,335
1978-04-01,337.69,335.07
1978-05-01,338.02,335.07
1978-06-01,338.01,335.59
1978-07-01,336.5,335.65
1978-08-01,334.42,335.87
1978-09-01,332.36,335.51
1978-10-01,332.45,335.72
1978-11-01,333.76,335.99
1978-12-01,334.91,335.89
1979-01-01,336.14,336.22
1979-02-01,336.69,336
1979-03-01,338.27,336.56
