Date,Value,ChangePercentMonth,ChangePercentYear
1913-02,9.8,,
1913-03,9.8,0.0,
1913-04,9.8,0.0,
1913-05,9.8,0.0,
1913-06,9.7,-0.010204,
1913-07,9.8,0.010309,
1913-08,9.9,0.010204,
1913-09,9.9,0.0,
1913-10,10.0,0.010101,
1913-11,10.0,0.0,
1913-12,10.1,0.01,
1914-01,10.0,-0.009901,
1914-02,10.0,0.0,0.020408
1914-03,9.9,-0.01,0.010204
1914-04,9.9,0.0,0.010204
1914-05,9.8,-0.010101,0.0
1914-06,9.9,0.010204,0.020619
1914-07,9.9,0.0,0.010204
1914-08,10.0,0.010101,0.010101
1914-09,10.2,0.02,0.030303
1914-10,10.2,0.0,0.02
1914-11,10.1,-0.009804,0.01
1914-12,10.2,0.009901,0.009901
1915-01,10.1,-0.009804,0.01
1915-02,10.1,0.0,0.01
1915-03,10.0,-0.009901,0.010101
1915-04,9.9,-0.01,0.0
1915-05,10.0,0.010101,0.020408
1915-06,10.1,0.01,0.020202
1915-07,10.1,0.0,0.020202
1915-08,10.1,0.0,0.01
1915-09,10.1,0.0,-0.009804
1915-10,10.1,0.0,-0.009804
1915-11,10.2,0.009901,0.009901
1915-12,10.3,0.009804,0.009804
1916-01,10.3,0.0,0.019802
1916-02,10.4,0.009709,0.029703
1916-03,10.4,0.0,0.04
1916-04,10.5,0.009615,0.060606
1916-05,10.6,0.009524,0.06
1916-06,10.7,0.009434,0.059406
1916-07,10.8,0.009346,0.069307
1916-08,10.8,0.0,0.069307
1916-09,10.9,0.009259,0.079208
1916-10,11.1,0.018349,0.09901
1916-11,11.3,0.018018,0.107843
1916-12,11.5,0.017699,0.116505
1917-01,11.6,0.008696,0.126214
1917-02,11.7,0.008621,0.125
1917-03,12.0,0.025641,0.153846
1917-04,12.0,0.0,0.142857
1917-05,12.6,0.05,0.188679
1917-06,12.8,0.015873,0.196262
1917-07,13.0,0.015625,0.203704
1917-08,12.8,-0.015385,0.185185
1917-09,13.0,0.015625,0.192661
1917-10,13.3,0.023077,0.198198
1917-11,13.5,0.015038,0.19469
1917-12,13.5,0.0,0.173913
1918-01,13.7,0.014815,0.181034
1918-02,14.0,0.021898,0.196581
1918-03,14.1,0.007143,0.175
1918-04,14.0,-0.007092,0.166667
1918-05,14.2,0.014286,0.126984
1918-06,14.5,0.021127,0.132812
1918-07,14.7,0.013793,0.130769
1918-08,15.1,0.027211,0.179688
1918-09,15.4,0.019868,0.184615
1918-10,15.7,0.019481,0.180451
1918-11,16.0,0.019108,0.185185
1918-12,16.3,0.01875,0.207407
1919-01,16.5,0.01227,0.20438
1919-02,16.5,0.0,0.178571
1919-03,16.2,-0.018182,0.148936
1919-04,16.4,0.012346,0.171429
1919-05,16.7,0.018293,0.176056
1919-06,16.9,0.011976,0.165517
1919-07,16.9,0.0,0.14966
1919-08,17.4,0.029586,0.152318
1919-09,17.7,0.017241,0.149351
1919-10,17.8,0.00565,0.133758
1919-11,18.1,0.016854,0.13125
1919-12,18.5,0.022099,0.134969
1920-01,18.9,0.021622,0.145455
1920-02,19.3,0.021164,0.169697
1920-03,19.5,0.010363,0.203704
1920-04,19.7,0.010256,0.20122
1920-05,20.3,0.030457,0.215569
1920-06,20.6,0.014778,0.218935
1920-07,20.9,0.014563,0.236686
1920-08,20.8,-0.004785,0.195402
1920-09,20.3,-0.024038,0.146893
1920-10,20.0,-0.014778,0.123596
1920-11,19.9,-0.005,0.099448
1920-12,19.8,-0.005025,0.07027
1921-01,19.4,-0.020202,0.026455
1921-02,19.0,-0.020619,-0.015544
1921-03,18.4,-0.031579,-0.05641
1921-04,18.3,-0.005435,-0.071066
1921-05,18.1,-0.010929,-0.108374
1921-06,17.7,-0.022099,-0.140777
1921-07,17.6,-0.00565,-0.157895
1921-08,17.7,0.005682,-0.149038
1921-09,17.7,0.0,-0.128079
1921-10,17.5,-0.011299,-0.125
1921-11,17.5,0.0,-0.120603
1921-12,17.4,-0.005714,-0.121212
1922-01,17.3,-0.005747,-0.108247
1922-02,16.9,-0.023121,-0.110526
1922-03,16.9,0.0,-0.081522
1922-04,16.7,-0.011834,-0.087432
1922-05,16.7,0.0,-0.077348
1922-06,16.7,0.0,-0.056497
1922-07,16.7,0.0,-0.051136
1922-08,16.8,0.005988,-0.050847
1922-09,16.6,-0.011905,-0.062147
1922-10,16.6,0.0,-0.051429
1922-11,16.7,0.006024,-0.045714
1922-12,16.8,0.005988,-0.034483
1923-01,16.9,0.005952,-0.023121
1923-02,16.8,-0.005917,-0.005917
1923-03,16.8,0.0,-0.005917
1923-04,16.8,0.0,0.005988
1923-05,16.9,0.005952,0.011976
1923-06,16.9,0.0,0.011976
1923-07,17.0,0.005917,0.017964
1923-08,17.2,0.011765,0.02381
1923-09,17.1,-0.005814,0.03012
1923-10,17.2,0.005848,0.036145
1923-11,17.3,0.005814,0.035928
1923-12,17.3,0.0,0.029762
1924-01,17.3,0.0,0.023669
1924-02,17.3,0.0,0.029762
1924-03,17.2,-0.00578,0.02381
1924-04,17.1,-0.005814,0.017857
1924-05,17.0,-0.005848,0.005917
1924-06,17.0,0.0,0.005917
1924-07,17.0,0.0,0.0
1924-08,17.1,0.005882,-0.005814
1924-09,17.0,-0.005848,-0.005848
1924-10,17.1,0.005882,-0.005814
1924-11,17.2,0.005848,-0.00578
1924-12,17.2,0.0,-0.00578
1925-01,17.3,0.005814,0.0
1925-02,17.3,0.0,0.0
1925-03,17.2,-0.00578,0.0
1925-04,17.3,0.005814,0.011696
1925-05,17.2,-0.00578,0.011765
1925-06,17.3,0.005814,0.017647
1925-07,17.5,0.011561,0.029412
1925-08,17.7,0.011429,0.035088
1925-09,17.7,0.0,0.041176
1925-10,17.7,0.0,0.035088
1925-11,17.7,0.0,0.02907
1925-12,18.0,0.016949,0.046512
1926-01,17.9,-0.005556,0.034682
1926-02,17.9,0.0,0.034682
1926-03,17.9,0.0,0.040698
1926-04,17.8,-0.005587,0.028902
1926-05,17.9,0.005618,0.040698
1926-06,17.8,-0.005587,0.028902
1926-07,17.7,-0.005618,0.011429
1926-08,17.5,-0.011299,-0.011299
1926-09,17.4,-0.005714,-0.016949
1926-10,17.5,0.005747,-0.011299
1926-11,17.6,0.005714,-0.00565
1926-12,17.7,0.005682,-0.016667
1927-01,17.7,0.0,-0.011173
1927-02,17.5,-0.011299,-0.022346
1927-03,17.4,-0.005714,-0.027933
1927-04,17.3,-0.005747,-0.02809
1927-05,17.3,0.0,-0.03352
1927-06,17.4,0.00578,-0.022472
1927-07,17.6,0.011494,-0.00565
1927-08,17.3,-0.017045,-0.011429
1927-09,17.2,-0.00578,-0.011494
1927-10,17.3,0.005814,-0.011429
1927-11,17.4,0.00578,-0.011364
1927-12,17.3,-0.005747,-0.022599
1928-01,17.3,0.0,-0.022599
1928-02,17.3,0.0,-0.011429
1928-03,17.1,-0.011561,-0.017241
1928-04,17.1,0.0,-0.011561
1928-05,17.1,0.0,-0.011561
1928-06,17.2,0.005848,-0.011494
1928-07,17.1,-0.005814,-0.028409
1928-08,17.1,0.0,-0.011561
1928-09,17.1,0.0,-0.005814
1928-10,17.3,0.011696,0.0
1928-11,17.2,-0.00578,-0.011494
1928-12,17.2,0.0,-0.00578
1929-01,17.1,-0.005814,-0.011561
1929-02,17.1,0.0,-0.011561
1929-03,17.1,0.0,0.0
1929-04,17.0,-0.005848,-0.005848
1929-05,16.9,-0.005882,-0.011696
1929-06,17.0,0.005917,-0.011628
1929-07,17.1,0.005882,0.0
1929-08,17.3,0.011696,0.011696
1929-09,17.3,0.0,0.011696
1929-10,17.3,0.0,0.0
1929-11,17.3,0.0,0.005814
1929-12,17.3,0.0,0.005814
1930-01,17.2,-0.00578,0.005848
1930-02,17.1,-0.005814,0.0
1930-03,17.0,-0.005848,-0.005848
1930-04,16.9,-0.005882,-0.005882
1930-05,17.0,0.005917,0.005917
1930-06,16.9,-0.005882,-0.005882
1930-07,16.8,-0.005917,-0.017544
1930-08,16.6,-0.011905,-0.040462
1930-09,16.5,-0.006024,-0.046243
1930-10,16.6,0.006061,-0.040462
1930-11,16.5,-0.006024,-0.046243
1930-12,16.4,-0.006061,-0.052023
1931-01,16.1,-0.018293,-0.063953
1931-02,15.9,-0.012422,-0.070175
1931-03,15.7,-0.012579,-0.076471
1931-04,15.6,-0.006369,-0.076923
1931-05,15.5,-0.00641,-0.088235
1931-06,15.3,-0.012903,-0.094675
1931-07,15.1,-0.013072,-0.10119
1931-08,15.1,0.0,-0.090361
1931-09,15.1,0.0,-0.084848
1931-10,15.0,-0.006623,-0.096386
1931-11,14.9,-0.006667,-0.09697
1931-12,14.7,-0.013423,-0.103659
1932-01,14.6,-0.006803,-0.093168
1932-02,14.3,-0.020548,-0.100629
1932-03,14.1,-0.013986,-0.101911
1932-04,14.0,-0.007092,-0.102564
1932-05,13.9,-0.007143,-0.103226
1932-06,13.7,-0.014388,-0.104575
1932-07,13.6,-0.007299,-0.099338
1932-08,13.6,0.0,-0.099338
1932-09,13.5,-0.007353,-0.10596
1932-10,13.4,-0.007407,-0.106667
1932-11,13.3,-0.007463,-0.107383
1932-12,13.2,-0.007519,-0.102041
1933-01,13.1,-0.007576,-0.10274
1933-02,12.9,-0.015267,-0.097902
1933-03,12.7,-0.015504,-0.099291
1933-04,12.6,-0.007874,-0.1
1933-05,12.6,0.0,-0.093525
1933-06,12.6,0.0,-0.080292
1933-07,12.7,0.007937,-0.066176
1933-08,13.1,0.031496,-0.036765
1933-09,13.2,0.007634,-0.022222
1933-10,13.2,0.0,-0.014925
1933-11,13.2,0.0,-0.007519
1933-12,13.2,0.0,0.0
1934-01,13.2,0.0,0.007634
1934-02,13.2,0.0,0.023256
1934-03,13.3,0.007576,0.047244
1934-04,13.3,0.0,0.055556
1934-05,13.3,0.0,0.055556
1934-06,13.3,0.0,0.055556
1934-07,13.4,0.007519,0.055118
1934-08,13.4,0.0,0.022901
1934-09,13.4,0.0,0.015152
1934-10,13.6,0.014925,0.030303
1934-11,13.5,-0.007353,0.022727
1934-12,13.5,0.0,0.022727
1935-01,13.4,-0.007407,0.015152
1935-02,13.6,0.014925,0.030303
1935-03,13.7,0.007353,0.030075
1935-04,13.7,0.0,0.030075
1935-05,13.8,0.007299,0.037594
1935-06,13.8,0.0,0.037594
1935-07,13.7,-0.007246,0.022388
1935-08,13.7,0.0,0.022388
1935-09,13.7,0.0,0.022388
1935-10,13.7,0.0,0.007353
1935-11,13.7,0.0,0.014815
1935-12,13.8,0.007299,0.022222
1936-01,13.8,0.0,0.029851
1936-02,13.8,0.0,0.014706
1936-03,13.8,0.0,0.007299
1936-04,13.7,-0.007246,0.0
1936-05,13.7,0.0,-0.007246
1936-06,13.7,0.0,-0.007246
1936-07,13.8,0.007299,0.007299
1936-08,13.9,0.007246,0.014599
1936-09,14.0,0.007194,0.021898
1936-10,14.0,0.0,0.021898
1936-11,14.0,0.0,0.021898
1936-12,14.0,0.0,0.014493
1937-01,14.0,0.0,0.014493
1937-02,14.1,0.007143,0.021739
1937-03,14.1,0.0,0.021739
1937-04,14.2,0.007092,0.036496
1937-05,14.3,0.007042,0.043796
1937-06,14.4,0.006993,0.051095
1937-07,14.4,0.0,0.043478
1937-08,14.5,0.006944,0.043165
1937-09,14.5,0.0,0.035714
1937-10,14.6,0.006897,0.042857
1937-11,14.6,0.0,0.042857
1937-12,14.5,-0.006849,0.035714
1938-01,14.4,-0.006897,0.028571
1938-02,14.2,-0.013889,0.007092
1938-03,14.1,-0.007042,0.0
1938-04,14.1,0.0,-0.007042
1938-05,14.2,0.007092,-0.006993
1938-06,14.1,-0.007042,-0.020833
1938-07,14.1,0.0,-0.020833
1938-08,14.1,0.0,-0.027586
1938-09,14.1,0.0,-0.027586
1938-10,14.1,0.0,-0.034247
1938-11,14.0,-0.007092,-0.041096
1938-12,14.0,0.0,-0.034483
1939-01,14.0,0.0,-0.027778
1939-02,14.0,0.0,-0.014085
1939-03,13.9,-0.007143,-0.014184
1939-04,13.9,0.0,-0.014184
1939-05,13.8,-0.007194,-0.028169
1939-06,13.8,0.0,-0.021277
1939-07,13.8,0.0,-0.021277
1939-08,13.8,0.0,-0.021277
1939-09,13.8,0.0,-0.021277
1939-10,14.1,0.021739,0.0
1939-11,14.0,-0.007092,0.0
1939-12,14.0,0.0,0.0
1940-01,14.0,0.0,0.0
1940-02,13.9,-0.007143,-0.007143
1940-03,14.0,0.007194,0.007194
1940-04,14.0,0.0,0.007194
1940-05,14.0,0.0,0.014493
1940-06,14.0,0.0,0.014493
1940-07,14.1,0.007143,0.021739
1940-08,14.0,-0.007092,0.014493
1940-09,14.0,0.0,0.014493
1940-10,14.0,0.0,-0.007092
1940-11,14.0,0.0,0.0
1940-12,14.0,0.0,0.0
1941-01,14.1,0.007143,0.007143
1941-02,14.1,0.0,0.014388
1941-03,14.1,0.0,0.007143
1941-04,14.2,0.007092,0.014286
1941-05,14.3,0.007042,0.021429
1941-06,14.4,0.006993,0.028571
1941-07,14.7,0.020833,0.042553
1941-08,14.7,0.0,0.05
1941-09,14.9,0.013605,0.064286
1941-10,15.1,0.013423,0.078571
1941-11,15.3,0.013245,0.092857
1941-12,15.4,0.006536,0.1
1942-01,15.5,0.006494,0.099291
1942-02,15.7,0.012903,0.113475
1942-03,15.8,0.006369,0.120567
1942-04,16.0,0.012658,0.126761
1942-05,16.1,0.00625,0.125874
1942-06,16.3,0.012422,0.131944
1942-07,16.3,0.0,0.108844
1942-08,16.4,0.006135,0.115646
1942-09,16.5,0.006098,0.107383
1942-10,16.5,0.0,0.092715
1942-11,16.7,0.012121,0.091503
1942-12,16.8,0.005988,0.090909
1943-01,16.9,0.005952,0.090323
