Date,Value,ChangePercentMonth,ChangePercentYear
1913-01,12.1,,
1913-02,12.0,-0.008264,
1913-03,12.0,0.0,
1913-04,12.0,0.0,
1913-05,11.9,-0.008333,
1913-06,11.9,0.0,
1913-07,12.0,0.008403,
1913-08,12.0,0.0,
1913-09,12.2,0.016667,
1913-10,12.2,0.0,
1913-11,12.1,-0.008197,
1913-12,11.9,-0.016529,
1914-01,11.8,-0.008403,-0.024793
1914-02,11.8,0.0,-0.016667
1914-03,11.7,-0.008475,-0.025
1914-04,11.7,0.0,-0.025
1914-05,11.6,-0.008547,-0.02521
1914-06,11.6,0.0,-0.02521
1914-07,11.6,0.0,-0.033333
1914-08,12.0,0.034483,0.0
1914-09,12.1,0.008333,-0.008197
1914-10,11.7,-0.033058,-0.040984
1914-11,11.7,0.0,-0.033058
1914-12,11.6,-0.008547,-0.02521
1915-01,11.8,0.017241,0.0
1915-02,11.8,0.0,0.0
1915-03,11.8,0.0,0.008547
1915-04,11.8,0.0,0.008547
1915-05,11.9,0.008475,0.025862
1915-06,11.8,-0.008403,0.017241
1915-07,11.9,0.008475,0.025862
1915-08,11.8,-0.008403,-0.016667
1915-09,11.8,0.0,-0.024793
1915-10,12.1,0.025424,0.034188
1915-11,12.3,0.016529,0.051282
1915-12,12.8,0.04065,0.103448
1916-01,13.3,0.039062,0.127119
1916-02,13.5,0.015038,0.144068
1916-03,13.9,0.02963,0.177966
1916-04,14.1,0.014388,0.194915
1916-05,14.2,0.007092,0.193277
1916-06,14.3,0.007042,0.211864
1916-07,14.4,0.006993,0.210084
1916-08,14.7,0.020833,0.245763
1916-09,15.0,0.020408,0.271186
1916-10,15.7,0.046667,0.297521
1916-11,16.8,0.070064,0.365854
1916-12,17.1,0.017857,0.335938
1917-01,17.6,0.02924,0.323308
1917-02,18.0,0.022727,0.333333
1917-03,18.5,0.027778,0.330935
1917-04,19.7,0.064865,0.397163
1917-05,20.8,0.055838,0.464789
1917-06,21.0,0.009615,0.468531
1917-07,21.2,0.009524,0.472222
1917-08,21.5,0.014151,0.462585
1917-09,21.3,-0.009302,0.42
1917-10,21.1,-0.00939,0.343949
1917-11,21.2,0.004739,0.261905
1917-12,21.2,0.0,0.239766
1918-01,21.6,0.018868,0.227273
1918-02,21.1,-0.023148,0.172222
1918-03,21.8,0.033175,0.178378
1918-04,22.1,0.013761,0.121827
1918-05,22.1,0.0,0.0625
1918-06,22.2,0.004525,0.057143
1918-07,22.7,0.022523,0.070755
1918-08,23.2,0.022026,0.07907
1918-09,23.7,0.021552,0.112676
1918-10,23.5,-0.008439,0.113744
1918-11,23.5,0.0,0.108491
1918-12,23.5,0.0,0.108491
1919-01,23.2,-0.012766,0.074074
1919-02,22.4,-0.034483,0.061611
1919-03,22.6,0.008929,0.036697
1919-04,22.9,0.013274,0.036199
1919-05,23.3,0.017467,0.054299
1919-06,23.4,0.004292,0.054054
1919-07,24.3,0.038462,0.070485
1919-08,24.9,0.024691,0.073276
1919-09,24.3,-0.024096,0.025316
1919-10,24.4,0.004115,0.038298
1919-11,24.9,0.020492,0.059574
1919-12,26.0,0.044177,0.106383
1920-01,27.2,0.046154,0.172414
1920-02,27.1,-0.003676,0.209821
1920-03,27.3,0.00738,0.207965
1920-04,28.5,0.043956,0.244541
1920-05,28.8,0.010526,0.236052
1920-06,28.7,-0.003472,0.226496
1920-07,28.6,-0.003484,0.176955
1920-08,27.8,-0.027972,0.116466
1920-09,26.8,-0.035971,0.102881
1920-10,24.9,-0.070896,0.020492
1920-11,23.0,-0.076305,-0.076305
1920-12,20.8,-0.095652,-0.2
1921-01,19.6,-0.057692,-0.279412
1921-02,18.1,-0.076531,-0.332103
1921-03,17.7,-0.022099,-0.351648
1921-04,17.0,-0.039548,-0.403509
1921-05,16.6,-0.023529,-0.423611
1921-06,16.1,-0.03012,-0.439024
1921-07,16.1,0.0,-0.437063
1921-08,16.1,0.0,-0.420863
1921-09,16.1,0.0,-0.399254
1921-10,16.2,0.006211,-0.349398
1921-11,16.2,0.0,-0.295652
1921-12,16.0,-0.012346,-0.230769
1922-01,15.7,-0.01875,-0.19898
1922-02,16.0,0.019108,-0.116022
1922-03,16.0,0.0,-0.096045
1922-04,16.1,0.00625,-0.052941
1922-05,16.6,0.031056,0.0
1922-06,16.6,0.0,0.031056
1922-07,17.1,0.03012,0.062112
1922-08,17.0,-0.005848,0.055901
1922-09,17.1,0.005882,0.062112
1922-10,17.2,0.005848,0.061728
1922-11,17.3,0.005814,0.067901
1922-12,17.3,0.0,0.08125
1923-01,17.6,0.017341,0.121019
1923-02,17.8,0.011364,0.1125
1923-03,18.0,0.011236,0.125
1923-04,17.9,-0.005556,0.111801
1923-05,17.5,-0.022346,0.054217
1923-06,17.3,-0.011429,0.042169
1923-07,17.0,-0.017341,-0.005848
1923-08,16.9,-0.005882,-0.005882
1923-09,17.2,0.017751,0.005848
1923-10,17.1,-0.005814,-0.005814
1923-11,17.0,-0.005848,-0.017341
1923-12,16.9,-0.005882,-0.023121
1924-01,17.2,0.017751,-0.022727
1924-02,17.2,0.0,-0.033708
1924-03,17.0,-0.011628,-0.055556
1924-04,16.7,-0.017647,-0.067039
1924-05,16.5,-0.011976,-0.057143
1924-06,16.4,-0.006061,-0.052023
1924-07,16.5,0.006098,-0.029412
1924-08,16.7,0.012121,-0.011834
1924-09,16.7,0.0,-0.02907
1924-10,16.9,0.011976,-0.011696
1924-11,17.1,0.011834,0.005882
1924-12,17.5,0.023392,0.035503
1925-01,17.7,0.011429,0.02907
1925-02,17.9,0.011299,0.040698
1925-03,17.9,0.0,0.052941
1925-04,17.5,-0.022346,0.047904
1925-05,17.5,0.0,0.060606
1925-06,17.7,0.011429,0.079268
1925-07,18.0,0.016949,0.090909
1925-08,17.9,-0.005556,0.071856
1925-09,17.8,-0.005587,0.065868
1925-10,17.8,0.0,0.053254
