Date,Value,ChangePercentMonth,ChangePercentYear
1948-01,4.0,,
1948-02,4.7,0.175,
1948-03,4.5,-0.042553,
1948-04,4.0,-0.111111,
1948-05,3.4,-0.15,
1948-06,3.9,0.147059,
1948-07,3.9,0.0,
1948-08,3.6,-0.076923,
1948-09,3.4,-0.055556,
1948-10,2.9,-0.147059,
1948-11,3.3,0.137931,
1948-12,3.6,0.090909,
1949-01,5.0,0.388889,0.25
1949-02,5.8,0.16,0.234043
1949-03,5.6,-0.034483,0.244444
1949-04,5.4,-0.035714,0.35
1949-05,5.7,0.055556,0.676471
1949-06,6.4,0.122807,0.641026
1949-07,7.0,0.09375,0.794872
1949-08,6.3,-0.1,0.75
1949-09,5.9,-0.063492,0.735294
1949-10,6.1,0.033898,1.103448
1949-11,5.7,-0.065574,0.727273
1949-12,6.0,0.052632,0.666667
1950-01,7.6,0.266667,0.52
1950-02,7.9,0.039474,0.362069
1950-03,7.1,-0.101266,0.267857
1950-04,6.0,-0.15493,0.111111
1950-05,5.3,-0.116667,-0.070175
1950-06,5.6,0.056604,-0.125
1950-07,5.3,-0.053571,-0.242857
1950-08,4.1,-0.226415,-0.349206
1950-09,4.0,-0.02439,-0.322034
1950-10,3.3,-0.175,-0.459016
1950-11,3.8,0.151515,-0.333333
1950-12,3.9,0.026316,-0.35
1951-01,4.4,0.128205,-0.421053
1951-02,4.2,-0.045455,-0.468354
1951-03,3.8,-0.095238,-0.464789
1951-04,3.2,-0.157895,-0.466667
1951-05,2.9,-0.09375,-0.45283
1951-06,3.4,0.172414,-0.392857
1951-07,3.3,-0.029412,-0.377358
1951-08,2.9,-0.121212,-0.292683
1951-09,3.0,0.034483,-0.25
1951-10,2.8,-0.066667,-0.151515
1951-11,3.2,0.142857,-0.157895
1951-12,2.9,-0.09375,-0.25641
1952-01,3.7,0.275862,-0.159091
1952-02,3.8,0.027027,-0.095238
1952-03,3.3,-0.131579,-0.131579
1952-04,3.0,-0.090909,-0.0625
1952-05,2.9,-0.033333,0.0
1952-06,3.2,0.103448,-0.058824
1952-07,3.3,0.03125,0.0
1952-08,3.1,-0.060606,0.068966
1952-09,2.7,-0.129032,-0.1
1952-10,2.4,-0.111111,-0.142857
1952-11,2.5,0.041667,-0.21875
1952-12,2.5,0.0,-0.137931
1953-01,3.4,0.36,-0.081081
1953-02,3.2,-0.058824,-0.157895
1953-03,2.9,-0.09375,-0.121212
1953-04,2.8,-0.034483,-0.066667
1953-05,2.5,-0.107143,-0.137931
1953-06,2.7,0.08,-0.15625
1953-07,2.7,0.0,-0.181818
1953-08,2.4,-0.111111,-0.225806
