Date,Value,ChangePercentMonth,ChangePercentYear
1958-03,314.43,,
1958-04,315.16,0.002322,
1958-05,314.71,-0.001428,
1958-06,315.14,0.001366,
1958-07,315.18,0.000127,
1958-08,316.18,0.003173,
1958-09,316.08,-0.000316,
1958-10,315.41,-0.00212,
1958-11,315.2,-0.000666,
1958-12,315.43,0.00073,
1959-01,315.55,0.00038,
1959-02,315.86,0.000982,
1959-03,315.38,-0.00152,0.003021
1959-04,315.41,9.5e-05,0.000793
1959-05,315.49,0.000254,0.002478
1959-06,316.03,0.001712,0.002824
1959-07,315.86,-0.000538,0.002157
1959-08,316.06,0.000633,-0.00038
1959-09,316.73,0.00212,0.002056
1959-10,316.33,-0.001263,0.002917
1959-11,316.68,0.001106,0.004695
1959-12,316.35,-0.001042,0.002917
1960-01,316.4,0.000158,0.002694
1960-02,316.36,-0.000126,0.001583
1960-03,316.28,-0.000253,0.002854
1960-04,316.7,0.001328,0.00409
1960-05,317.22,0.001642,0.005484
1960-06,317.47,0.000788,0.004557
1960-07,317.52,0.000157,0.005255
1960-08,317.19,-0.001039,0.003575
1960-09,317.08,-0.000347,0.001105
1960-10,316.83,-0.000788,0.001581
1960-11,316.88,0.000158,0.000632
1960-12,316.96,0.000252,0.001928
1961-01,316.86,-0.000315,0.001454
1961-02,317.08,0.000694,0.002276
1961-03,317.26,0.000568,0.003099
1961-04,317.16,-0.000315,0.001452
1961-05,317.76,0.001892,0.001702
1961-06,317.63,-0.000409,0.000504
1961-07,317.88,0.000787,0.001134
1961-08,318.06,0.000566,0.002743
1961-09,317.9,-0.000503,0.002586
1961-10,318.32,0.001321,0.004703
1961-11,317.99,-0.001037,0.003503
1961-12,317.79,-0.000629,0.002619
1962-01,317.91,0.000378,0.003314
1962-02,317.92,3.1e-05,0.002649
1962-03,318.39,0.001478,0.003562
1962-04,318.24,-0.000471,0.003405
1962-05,318.18,-0.000189,0.001322
1962-06,318.47,0.000911,0.002645
1962-07,318.92,0.001413,0.003272
1962-08,318.68,-0.000753,0.001949
1962-09,319.17,0.001538,0.003995
1962-10,318.45,-0.002256,0.000408
1962-11,318.58,0.000408,0.001855
1962-12,318.47,-0.000345,0.00214
1963-01,318.7,0.000722,0.002485
1963-02,318.44,-0.000816,0.001636
1963-03,318.57,0.000408,0.000565
1963-04,319.05,0.001507,0.002545
1963-05,319.4,0.001097,0.003834
